Target Value,"Knapsack (3, 11, 23)",Total Coins,Execution Time (µs),Combination,Satisfiability
179,"[12, 0, 1]",13,5635.02311706543,[],Unsatisfiable
91,"[0, 8, 5]",13,5247.1160888671875,"[11, 11, 23, 23, 23]",Satisfiable
41,"[3, 7, 3]",13,5704.8797607421875,[],Unsatisfiable
186,"[5, 5, 3]",13,5790.948867797852,[],Unsatisfiable
81,"[11, 1, 1]",13,5797.863006591797,[],Unsatisfiable
191,"[7, 3, 3]",13,5820.989608764648,[],Unsatisfiable
38,"[11, 2, 0]",13,5566.120147705078,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 11]",Satisfiable
121,"[9, 1, 4]",14,12436.866760253906,"[3, 3, 3, 3, 3, 3, 11, 23, 23, 23, 23]",Satisfiable
192,"[8, 0, 6]",14,12554.88395690918,[],Unsatisfiable
47,"[7, 1, 6]",14,12215.137481689453,[],Unsatisfiable
24,"[10, 4, 0]",14,11383.056640625,"[3, 3, 3, 3, 3, 3, 3, 3]",Satisfiable
174,"[5, 3, 6]",14,12255.90705871582,"[3, 11, 11, 11, 23, 23, 23, 23, 23, 23]",Satisfiable
48,"[12, 2, 0]",14,12327.909469604492,[],Unsatisfiable
52,"[1, 0, 13]",14,12861.013412475586,[],Unsatisfiable
110,"[1, 3, 10]",14,12175.08316040039,[],Unsatisfiable
77,"[0, 8, 6]",14,11289.119720458984,"[11, 11, 11, 11, 11, 11, 11]",Satisfiable
113,"[5, 5, 4]",14,11575.937271118164,"[3, 3, 3, 3, 11, 11, 11, 11, 11, 23, 23]",Satisfiable
117,"[13, 1, 0]",14,12076.139450073242,[],Unsatisfiable
184,"[10, 3, 1]",14,12061.834335327148,[],Unsatisfiable
135,"[2, 5, 7]",14,12548.208236694336,[],Unsatisfiable
103,"[3, 11, 0]",14,12187.957763671875,[],Unsatisfiable
66,"[1, 11, 2]",14,11187.076568603516,"[11, 11, 11, 11, 11, 11]",Satisfiable
189,"[9, 1, 4]",14,12273.073196411133,[],Unsatisfiable
195,"[8, 0, 6]",14,12367.010116577148,[],Unsatisfiable
193,"[11, 0, 3]",14,12393.951416015625,[],Unsatisfiable
149,"[6, 0, 8]",14,13030.052185058594,[],Unsatisfiable
74,"[6, 7, 1]",14,12166.976928710938,"[3, 3, 3, 3, 3, 3, 11, 11, 11, 23]",Satisfiable
184,"[12, 0, 2]",14,12260.198593139648,[],Unsatisfiable
26,"[12, 1, 1]",14,11578.083038330078,"[3, 3, 3, 3, 3, 11]",Satisfiable
100,"[14, 0, 0]",14,12281.179428100586,[],Unsatisfiable
133,"[13, 0, 1]",14,12051.820755004883,[],Unsatisfiable
49,"[5, 0, 9]",14,11620.99838256836,"[3, 23, 23]",Satisfiable
49,"[3, 9, 2]",14,12092.351913452148,"[3, 23, 23]",Satisfiable
27,"[6, 0, 8]",14,12349.843978881836,[],Unsatisfiable
175,"[11, 1, 2]",14,12518.882751464844,[],Unsatisfiable
172,"[14, 0, 0]",14,12599.945068359375,[],Unsatisfiable
147,"[6, 0, 8]",14,12526.988983154297,"[3, 3, 3, 23, 23, 23, 23, 23, 23]",Satisfiable
185,"[0, 9, 5]",14,12230.873107910156,[],Unsatisfiable
160,"[6, 5, 3]",14,12462.854385375977,[],Unsatisfiable
70,"[8, 3, 3]",14,11929.750442504883,"[3, 3, 3, 3, 3, 3, 3, 3, 23, 23]",Satisfiable
121,"[6, 0, 8]",14,11537.313461303711,"[3, 3, 23, 23, 23, 23, 23]",Satisfiable
73,"[3, 5, 6]",14,11348.00910949707,"[3, 3, 11, 11, 11, 11, 23]",Satisfiable
90,"[7, 1, 6]",14,12372.016906738281,"[3, 3, 3, 3, 3, 3, 3, 23, 23, 23]",Satisfiable
147,"[8, 5, 1]",14,12504.816055297852,[],Unsatisfiable
127,"[3, 3, 8]",14,12079.954147338867,[],Unsatisfiable
112,"[1, 0, 13]",14,12063.026428222656,[],Unsatisfiable
97,"[0, 8, 6]",14,12232.780456542969,[],Unsatisfiable
57,"[4, 10, 1]",15,26710.987091064453,"[3, 3, 3, 3, 11, 11, 23]",Satisfiable
81,"[8, 2, 5]",15,24327.27813720703,"[3, 3, 3, 3, 3, 3, 3, 3, 11, 23, 23]",Satisfiable
89,"[0, 5, 10]",15,25909.900665283203,[],Unsatisfiable
38,"[3, 10, 2]",15,27103.185653686523,[],Unsatisfiable
190,"[13, 0, 2]",15,26388.168334960938,[],Unsatisfiable
164,"[3, 4, 8]",15,25061.845779418945,"[3, 23, 23, 23, 23, 23, 23, 23]",Satisfiable
64,"[13, 2, 0]",15,28112.173080444336,[],Unsatisfiable
154,"[4, 8, 3]",15,26894.807815551758,[],Unsatisfiable
92,"[9, 5, 1]",15,26750.08773803711,[],Unsatisfiable
200,"[4, 7, 4]",15,27225.017547607422,[],Unsatisfiable
21,"[5, 6, 4]",15,26193.14193725586,[],Unsatisfiable
56,"[10, 0, 5]",15,26522.87483215332,[],Unsatisfiable
61,"[9, 0, 6]",15,26268.959045410156,"[3, 3, 3, 3, 3, 23, 23]",Satisfiable
87,"[5, 0, 10]",15,26494.979858398438,[],Unsatisfiable
121,"[11, 0, 4]",15,26566.98226928711,[],Unsatisfiable
44,"[12, 1, 2]",15,25115.966796875,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 11]",Satisfiable
48,"[0, 0, 15]",15,25974.98893737793,[],Unsatisfiable
150,"[11, 4, 0]",15,26406.049728393555,[],Unsatisfiable
73,"[12, 0, 3]",15,25331.02035522461,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 23, 23]",Satisfiable
167,"[0, 4, 11]",15,25842.905044555664,[],Unsatisfiable
181,"[4, 11, 0]",15,26445.865631103516,[],Unsatisfiable
81,"[13, 2, 0]",15,26390.07568359375,[],Unsatisfiable
177,"[5, 10, 0]",15,26333.093643188477,[],Unsatisfiable
116,"[15, 0, 0]",15,27386.188507080078,[],Unsatisfiable
120,"[8, 7, 0]",15,26261.80648803711,[],Unsatisfiable
128,"[12, 0, 3]",15,26061.058044433594,[],Unsatisfiable
28,"[11, 1, 3]",15,27355.90934753418,[],Unsatisfiable
34,"[1, 1, 13]",15,24191.856384277344,"[11, 23]",Satisfiable
149,"[11, 2, 2]",15,26443.958282470703,[],Unsatisfiable
116,"[2, 2, 11]",15,27144.908905029297,[],Unsatisfiable
130,"[5, 3, 7]",15,24775.981903076172,"[3, 3, 3, 3, 3, 23, 23, 23, 23, 23]",Satisfiable
84,"[8, 6, 1]",15,25424.957275390625,"[3, 3, 3, 3, 3, 3, 11, 11, 11, 11, 11, 11]",Satisfiable
41,"[11, 1, 3]",15,25511.980056762695,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 11]",Satisfiable
56,"[3, 8, 4]",15,24128.91387939453,"[11, 11, 11, 23]",Satisfiable
118,"[12, 2, 1]",15,26404.142379760742,[],Unsatisfiable
83,"[1, 2, 12]",15,25276.18408203125,"[3, 11, 23, 23, 23]",Satisfiable
59,"[9, 6, 0]",15,24764.299392700195,"[3, 3, 3, 3, 3, 11, 11, 11, 11]",Satisfiable
108,"[1, 14, 0]",15,26070.117950439453,[],Unsatisfiable
168,"[10, 2, 3]",15,27061.939239501953,[],Unsatisfiable
168,"[12, 0, 3]",15,26273.96583557129,[],Unsatisfiable
